xy_group_id,lon,lat,n_registros,n_paises,n_fuentes,n_anios,n_nivel1,n_nivel2,anio_min,anio_max,pais_grupo,conf_integrada_promedio,conf_integrada_min,conf_integrada_max,tipo_grupo_xy
XY_000000513739,-89.05308999999998,16.185038,38,1,1,19,2,2,2000,2018,Belice,83.11751782898943,62.378760484498436,88.64785312085371,conflicto_tematico_xy
XY_000000455197,-89.21915699999998,15.98461,19,1,1,19,1,2,2000,2018,Belice,92.31748031327841,92.31748031327841,92.31748031327841,conflicto_tematico_xy
XY_000000455237,-89.219058,15.975576,19,1,1,19,2,2,2000,2018,Belice,71.3911910682065,69.52967895305514,87.214044046993,conflicto_tematico_xy
XY_000000457779,-89.211214,16.111176,19,1,1,19,2,2,2000,2018,Belice,68.07509835918918,60.68058699406187,78.24255148623925,conflicto_tematico_xy
XY_000000457806,-89.21111399999998,16.102143,19,1,1,19,2,2,2000,2018,Belice,65.44910824015805,56.19482578109357,81.31359245569716,conflicto_tematico_xy
XY_000000457834,-89.211014,16.093109,19,1,1,19,2,2,2000,2018,Belice,79.05368405015113,55.733946705914384,81.7971825612378,conflicto_tematico_xy
XY_000000457905,-89.210814,16.075042,19,1,1,19,2,2,2000,2018,Belice,85.65107066590403,47.318038090038165,92.83851427387887,conflicto_tematico_xy
XY_000000457948,-89.21071399999998,16.066008,19,1,1,19,2,2,2000,2018,Belice,69.85015989405063,69.49139930295854,72.89962491833342,conflicto_tematico_xy
XY_000000458253,-89.209918,15.993739,19,1,1,19,2,2,2000,2018,Belice,53.61003333390668,51.23527473191721,96.35568816971718,conflicto_tematico_xy
XY_000000458321,-89.209719,15.975672,19,1,1,19,2,2,2000,2018,Belice,64.02197944508589,63.00834749799807,72.63785099533234,conflicto_tematico_xy
XY_000000458397,-89.20952099999998,15.957605,19,1,1,19,1,2,2000,2018,Belice,86.38015948274276,86.38015948274276,86.38015948274276,conflicto_tematico_xy
XY_000000458423,-89.209422,15.948571,19,1,1,19,2,2,2000,2018,Belice,80.68774589562678,47.05074699747303,86.9946831890306,conflicto_tematico_xy
XY_000000458484,-89.208928,15.903402,19,1,1,19,2,2,2000,2018,Belice,83.01926501163297,54.34350460667648,93.26060801340313,conflicto_tematico_xy
XY_000000460850,-89.201869,16.111273,19,1,1,19,2,2,2000,2018,Belice,72.69873915165253,63.237584451327145,75.22171373840595,conflicto_tematico_xy
XY_000000460891,-89.20176999999998,16.102239,19,1,1,19,2,2,2000,2018,Belice,69.34724437343455,60.101797623704364,95.23449527267908,conflicto_tematico_xy
