field_name,dtype,non_null
id_registro,object,19474
id_muestra_original,int64,19474
Fuente,object,19474
id_fuente,int64,19474
Pais_es,object,19474
Pais_cod3,object,19474
Año,int64,19474
Longitud,float64,19474
Latitud,float64,19474
Clase,int64,19474
GranClase,int64,19474
nombre_clase,object,19474
nombre_gran_clase,object,19474
revision_nulos_tematicos,int64,19474
motivo_revision,object,19474
xy_group_id,object,19474
xy_year_group_id,object,19474
xy_class_group_id,object,19474
geometry,geometry,19474
